Designator,Footprint,Quantity,Value,LCSC Part #
33_LED1,0603,1,3.3 LED,
BOOT_SW1,SW_Push_SPST_NO_Alps_SKRK,1,Boot,
C1,0603,1,4.7uF,
"C13, C16, C17",0603,3,10uF,
"C14, C15, C2",0603,3,0.1uF,
D7,D_SOD-323,1,1N5819WS,
J1,128x64OLED_No_Holes,1,I2C Sockets,
J2,PinHeader_1x03_P2.54mm_Vertical,1,UART Pins,
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"NEOPIXEL1, NEOPIXEL2, NEOPIXEL3",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,
PWR_C1,0805,1,10uF,
"Q2, Q3",SOT-23,2,S8050,
R2,0603,1,10k,
"R4, R5",0603,2,12K,
R6,0603,1,1M,
"R7, R8",0603,2,5.11K,
R9,0603,1,2.2K,
SW1,SW_PUSH_6mm,1,PUSH_1,
SW2,SW_PUSH_6mm,1,PUSH_2,
SW3,SW_PUSH_6mm,1,PUSH_3,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
